 	172800 	NS 	ns-832.awsdns-40.net.
exc-jrnl-jp. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
exc-jrnl-la. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
exc-jrnl-me. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
exc-jrnl-na. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
exc-jrnl-oc. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
exc-jrnl-ru. 	300 	A 	84.201.153.45
exc-jrnl-sa. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
exc-jrnl. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
excfile-jrnl-af. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
excfile-jrnl-as. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
excfile-jrnl-ea. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
excfile-jrnl-ee. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
excfile-jrnl-eu. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
excfile-jrnl-jp. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
excfile-jrnl-la. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
excfile-jrnl-me. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
excfile-jrnl-na. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
excfile-jrnl-oc. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
excfile-jrnl-ru. 	300 	A 	84.201.153.45
excfile-jrnl-sa. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
excfile-jrnl. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com.
falcon. 	300 	A 	52.38.165.143
falcongrafana-overseas. 	300 	A 	52.38.165.143
falcongrafana. 	300 	A 	52.38.165.143
feedbackop. 	300 	CNAME 	njbp-oss-99b288ace96d20e4.elb.us-west-2.amazonaws.com.
file-dl-test. 	300 	CNAME 	d1dq0aegm0h115.cloudfront.net.
file-dl. 	300 	CNAME 	dxmgmyb0n6ve5.cloudfront.net.
file-ul-ru. 	300 	A 	178.154.193.99
file-ul. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
fmp-ops. 	300 	A 	44.229.22.199
fmsop-dev. 	300 	CNAME 	njbm-mam-8a89944e780432c9.elb.us-west-2.amazonaws.com.
fmsop. 	300 	CNAME 	njbp-oss-99b288ace96d20e4.elb.us-west-2.amazonaws.com.
fortiauthenticator-us. 	300 	A 	54.184.159.76
fortitest. 	300 	A 	52.83.253.158
geo-bas-af. 	300 	CNAME 	client-ipv6-to-nginx-ipv4-2f7b55db541431db.elb.us-west-2.amazonaws.com.
geo-bas-as. 	300 	CNAME 	client-ipv6-to-nginx-ipv4-2f7b55db541431db.elb.us-west-2.amazonaws.com.
geo-bas-ea. 	300 	CNAME 	client-ipv6-to-nginx-ipv4-2f7b55db541431db.elb.us-west-2.amazonaws.com.
