exc-jrnl.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
excfile-jrnl-af.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
excfile-jrnl-as.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
excfile-jrnl-ea.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
excfile-jrnl-ee.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
excfile-jrnl-eu.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
excfile-jrnl-jp.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
excfile-jrnl-la.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
excfile-jrnl-me.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
excfile-jrnl-na.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
excfile-jrnl-oc.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
excfile-jrnl-ru.vidaahub.com. 	300 	A 	84.201.153.45
excfile-jrnl-sa.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
excfile-jrnl.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
falcon.vidaahub.com. 	300 	A 	52.38.165.143
falcongrafana-overseas.vidaahub.com. 	300 	A 	52.38.165.143
falcongrafana.vidaahub.com. 	300 	A 	52.38.165.143
feedbackop.vidaahub.com. 	300 	CNAME 	njbp-oss-99b288ace96d20e4.elb.us-west-2.amazonaws.com
file-dl-test.vidaahub.com. 	300 	CNAME 	d1dq0aegm0h115.cloudfront.net
file-dl.vidaahub.com. 	300 	CNAME 	dxmgmyb0n6ve5.cloudfront.net
file-ul-ru.vidaahub.com. 	300 	A 	178.154.193.99
file-ul.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
fmp-ops.vidaahub.com. 	300 	A 	44.229.22.199
fmsop-dev.vidaahub.com. 	300 	CNAME 	njbm-mam-8a89944e780432c9.elb.us-west-2.amazonaws.com
fmsop.vidaahub.com. 	300 	CNAME 	njbp-oss-99b288ace96d20e4.elb.us-west-2.amazonaws.com
fortiauthenticator-us.vidaahub.com. 	300 	A 	54.184.159.76
fortitest.vidaahub.com. 	300 	A 	52.83.253.158
geo-bas-af.vidaahub.com. 	300 	CNAME 	client-ipv6-to-nginx-ipv4-2f7b55db541431db.elb.us-west-2.amazonaws.com
geo-bas-as.vidaahub.com. 	300 	CNAME 	client-ipv6-to-nginx-ipv4-2f7b55db541431db.elb.us-west-2.amazonaws.com
geo-bas-ea.vidaahub.com. 	300 	CNAME 	client-ipv6-to-nginx-ipv4-2f7b55db541431db.elb.us-west-2.amazonaws.com
geo-bas-ee.vidaahub.com. 	300 	CNAME 	client-ipv6-to-nginx-ipv4-2f7b55db541431db.elb.us-west-2.amazonaws.com
geo-bas-eu.vidaahub.com. 	300 	CNAME 	client-ipv6-to-nginx-ipv4-2f7b55db541431db.elb.us-west-2.amazonaws.com
geo-bas-jp.vidaahub.com. 	300 	CNAME 	client-ipv6-to-nginx-ipv4-2f7b55db541431db.elb.us-west-2.amazonaws.com
geo-bas-la.vidaahub.com. 	300 	CNAME 	client-ipv6-to-nginx-ipv4-2f7b55db541431db.elb.us-west-2.amazonaws.com
geo-bas-me.vidaahub.com. 	300 	CNAME 	client-ipv6-to-nginx-ipv4-2f7b55db541431db.elb.us-west-2.amazonaws.com
geo-bas-na.vidaahub.com. 	300 	CNAME 	client-ipv6-to-nginx-ipv4-2f7b55db541431db.elb.us-west-2.amazonaws.com
geo-bas-oc.vidaahub.com. 	300 	CNAME 	client-ipv6-to-nginx-ipv4-2f7b55db541431db.elb.us-west-2.amazonaws.com
geo-bas-sa.vidaahub.com. 	300 	CNAME 	client-ipv6-to-nginx-ipv4-2f7b55db541431db.elb.us-west-2.amazonaws.com
geo-bas.vidaahub.com. 	300 	CNAME 	client-ipv6-to-nginx-ipv4-2f7b55db541431db.elb.us-west-2.amazonaws.com
google-voice-test.vidaahub.com. 	300 	CNAME 	sitnew-njbpapi-apigateway-6417c96bf3383c2e.elb.us-west-2.amazonaws.com
google-voice.vidaahub.com. 	300 	CNAME 	voiceservice-gateway-285ec3d05738f6f4.elb.us-west-2.amazonaws.com
hea-jrnl-af.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
hea-jrnl-as.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
hea-jrnl-ea.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
hea-jrnl-ee.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
hea-jrnl-eu.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
hea-jrnl-jp.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
hea-jrnl-la.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
hea-jrnl-me.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
hea-jrnl-na.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
hea-jrnl-oc.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
hea-jrnl-ru.vidaahub.com. 	300 	A 	84.201.153.45
hea-jrnl-sa.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
hea-jrnl.vidaahub.com. 	300 	CNAME 	terminallognginx-1742644335.us-west-2.elb.amazonaws.com
het-jucloud.vidaahub.com. 	300 	CNAME 	jhk-nephele-d797dbff1beae446.elb.eu-central-1.amazonaws.com
home-ui-af.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
home-ui-as.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
home-ui-ea.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
home-ui-ee.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
home-ui-eu.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
home-ui-jp.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
home-ui-la.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
home-ui-me.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
home-ui-na.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
home-ui-oc.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
home-ui-sa.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
home-ui.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
hub-msg.vidaahub.com. 	300 	CNAME 	NLB-msghub-3c4f62da33652358.elb.us-west-2.amazonaws.com
hwcmdb.vidaahub.com. 	300 	A 	44.229.22.199
img-dev.vidaahub.com. 	300 	CNAME 	dev-fileserver-nfs-9aed84e0cf9afe63.elb.us-west-2.amazonaws.com
img-tmp.vidaahub.com. 	300 	CNAME 	d2iz61gbfv2ye.cloudfront.net
img.vidaahub.com. 	300 	CNAME 	d2iz61gbfv2ye.cloudfront.net
iot-voice-af.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
iot-voice-as.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
iot-voice-dev.vidaahub.com. 	300 	CNAME 	launcher-10638ffac867f394.elb.us-west-2.amazonaws.com
iot-voice-ea.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
iot-voice-ee.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
iot-voice-eu.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
iot-voice-jp.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
iot-voice-la.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
iot-voice-me.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
iot-voice-na.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
iot-voice-oc.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
iot-voice-ru.vidaahub.com. 	300 	A 	178.154.193.99
iot-voice-sa.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
iot-voice.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
juconnect-k8s-es.vidaahub.com. 	300 	A 	18.158.17.158
juconnectk8s-aws.vidaahub.com. 	300 	CNAME 	jhk-nephele-0a8127e2f61b4eb7.elb.eu-central-1.amazonaws.com
layout-ui-af.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
layout-ui-as.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
layout-ui-ea.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
layout-ui-ee.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
layout-ui-eu.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
layout-ui-jp.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
layout-ui-la.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
layout-ui-me.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
layout-ui-na.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
layout-ui-oc.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
layout-ui-sa.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
layout-ui.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
mediaop.vidaahub.com. 	300 	CNAME 	mam-0abc7c4f3f8f82e8.elb.us-west-2.amazonaws.com
member-ui-af.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
member-ui-as.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
member-ui-ea.vidaahub.com. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com
